"","genes","res"
"817","CAMK2N1","r25"
"818","CXCR2","r25"
"819","TMEM17","r25"
"820","FCGR2A","r25"
"821","MRVI1","r25"
"822","CACNA1I","r25"
"823","BCL7A","r25"
"824","GLS","r25"
"825","UNC5A","r25"
"826","TNFAIP2","r25"
"827","ARRB2","r25"
"828","SEMG2","r25"
"829","TMEM106B","r25"
"830","FPR3","r25"
"831","STK17B","r25"
"832","KATNBL1","r25"
"833","SERTAD4-AS1","r25"
"834","APBB1IP","r25"
"835","LINC00638","r25"
"836","HCN4","r25"
"837","GCKR","r25"
"838","SP110","r25"
"839","XRCC4","r25"
"840","ARL5B","r25"
"841","CRISP3","r25"
"842","KIAA0226L","r25"
"843","MOXD1","r25"
"844","KIAA0040","r25"
"845","WDR90","r25"
"846","PLSCR1","r25"
"847","RHPN1-AS1","r25"
"848","GBP1","r25"
"849","INHBB","r25"
"850","RASGEF1B","r25"
"851","THAP9-AS1","r25"
"852","SLC16A10","r25"
"853","PAG1","r25"
"854","BEAN1-AS1","r25"
"855","TFEC","r25"
"856","PYGM","r25"
"857","LILRB2","r25"
"858","BPIFB1","r25"
"859","CDC20B","r25"
"860","CSGALNACT2","r25"
"861","CLEC4D","r25"
"862","SOD2","r25"
"863","RNF222","r25"
"864","ID2","r25"
"865","SLC41A1","r25"
"866","MPP1","r25"
"867","C1orf177","r25"
"868","LINC01166","r25"
"869","ITM2B","r25"
"870","SIRPD","r25"
"871","CRHBP","r25"
"872","MFAP3L","r25"
"873","ARHGAP9","r25"
"874","ALOX5","r25"
"875","KRR1","r25"
"876","TMCC3","r25"
"877","DTX1","r25"
"878","FAM126A","r25"
"879","LRIF1","r25"
"880","PIK3AP1","r25"
"881","GPR65","r25"
"882","RASSF2","r25"
"883","CSF1R","r25"
"884","MUC22","r25"
"885","ANKRD36B","r25"
"886","RGS18","r25"
"887","TMEM200A","r25"
"888","RAB27B","r25"
"889","COL17A1","r25"
"890","CCL7","r25"
"891","BCL10","r25"
"892","ARHGAP30","r25"
"893","LOC100130417","r25"
"894","LOC101927822","r25"
"895","GNAI3","r25"
"896","USP2","r25"
"897","CLEC1A","r25"
"898","ZG16B","r25"
"899","ARHGAP25","r25"
"900","IL18R1","r25"
"901","LOC100128531","r25"
"902","PLCG2","r25"
"903","ASAP1","r25"
"904","PICALM","r25"
"905","HAL","r25"
"906","IKBIP","r25"
"907","FCHO2","r25"
"908","LYN","r25"
"909","CTSV","r25"
"910","ADGRL2","r25"
"911","SEZ6L","r25"
